t_s,enc_as5600_deg,acc_deg,clar_counts,clar_deg,cmd_sps,cmd_dir,cmd_vel
0.460406,269.1211,-620.068359,881,619.4531,2000.00,1,2000.00
0.461407,268.0664,-621.123047,883,620.8594,2000.00,1,2000.00
0.462408,266.7480,-622.441406,885,622.2656,2000.00,1,2000.00
0.463409,265.4297,-623.759766,887,623.6719,2000.00,1,2000.00
0.464410,264.2871,-624.902344,889,625.0781,2000.00,1,2000.00
0.465411,263.0566,-626.132813,891,626.4844,2000.00,1,2000.00
0.466412,261.9141,-627.275391,893,627.8906,2000.00,1,2000.00
0.467413,260.5078,-628.681641,895,629.2969,2000.00,1,2000.00
0.468414,259.1895,-630.000000,897,630.7031,2000.00,1,2000.00
0.469415,258.1348,-631.054688,898,631.4062,2000.00,1,2000.00
